Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v3-precision_float-large-minimalistic-224,resnet,Offline,143.911,72.678,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v3-precision_float-large-minimalistic-224/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v3-precision_uint8-large-minimalistic-224,resnet,MultiStream,14.661336,70.430,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v3-precision_uint8-large-minimalistic-224/multistream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,1,v3.0,1,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v3-precision_uint8-large-minimalistic-224,resnet,SingleStream,1.575167,70.430,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v3-precision_uint8-large-minimalistic-224/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v3-precision_uint8-large-minimalistic-224,resnet,Offline,671.641,70.430,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v3-precision_uint8-large-minimalistic-224/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,efficientnet-int8-lite1,resnet,MultiStream,56.387328,74.046,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/efficientnet-int8-lite1/multistream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,1,v3.0,1,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,efficientnet-int8-lite1,resnet,SingleStream,6.801375,74.046,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/efficientnet-int8-lite1/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,efficientnet-int8-lite1,resnet,Offline,149.503,74.046,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/efficientnet-int8-lite1/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-1.0-160,resnet,MultiStream,17.153,67.822,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-1.0-160/multistream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,1,v3.0,1,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-1.0-160,resnet,SingleStream,1.137333,67.822,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-1.0-160/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v2-precision_uint8-1.0-160,resnet,Offline,908.731,67.822,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v2-precision_uint8-1.0-160/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v1-precision_uint8-0.5-192,resnet,MultiStream,17.014672,61.456,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v1-precision_uint8-0.5-192/multistream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,1,v3.0,1,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v1-precision_uint8-0.5-192,resnet,SingleStream,1.270333,61.456,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v1-precision_uint8-0.5-192/singlestream,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,2,v3.0,0,False,Latency (ms)
cTuning,available,open,"edge","s4ch1n (auto detected)",s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config,mobilenet-v1-precision_uint8-0.5-192,resnet,Offline,1168.4,61.456,1,"",1,4,"N/A","0",open/cTuning/results/s4ch1n-tflite_cpp-cpu-tflite-vdefault-default_config/mobilenet-v1-precision_uint8-0.5-192/offline,"","Ubuntu 20.04 (linux-5.15.49-linuxkit-glibc2.31)","Contributed by Sachin Mudaliyar, Results taken using Docker running on MacBook Pro M1 2020. Powered by MLCommons Collective Mind framework (CK2). ",1,3,v3.0,1,False,Samples/s
